event-name,event-link,event-logo,event-start-date,event-end-date,event-mode,event-location
BorderHacks,http://www.borderhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/461/thumb/mlh-logo.png?1596221356,2020-09-25,2020-09-27,DIGITAL,"Everywhere, Worldwide"
SBUHacks,https://sbuhacks.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/099/thumb/logo_%2811%29.png?1598880340,2020-09-25,2020-09-26,DIGITAL,"Everywhere, Worldwide"
ShellHacks,https://shellhacks.net/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/100/thumb/Logo_%2812%29.png?1598880491,2020-09-25,2020-09-27,DIGITAL,"Everywhere, Worldwide"
"New Friends, New Hacks",https://hackp.ac/NewFriendsNewHacks,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/096/thumb/new-friends-new-hacks_mlh-event-title.png?1598451639,2020-09-26,2020-09-27,DIGITAL,"Everywhere, Worldwide"
Ramhacks,https://ramhacks.vcu.edu/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/913/thumb/RamHacksLogo_100x100.png?1597924541,2020-09-26,2020-09-27,DIGITAL,"Everywhere, Worldwide"
IvyHacks,https://IvyHacks.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/716/thumb/ivyhacks_logo_wo_words.png?1600956739,2020-10-01,2020-10-04,DIGITAL,"Everywhere, Worldwide"
HeroHacks,https://organize.mlh.io/participants/events/4618-herohacks,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/590/thumb/hero-hacks_mlh-event-title.png?1600704788,2020-10-02,2020-10-04,DIGITAL,"Everywhere, Worldwide"
MiamiHacks,https://www.miamihacks.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/387/thumb/Screen_Shot_2020-09-04_at_5.25.25_PM.png?1599254795,2020-10-02,2020-10-04,DIGITAL,"Everywhere, Worldwide"
VandyHacks,https://vandyhacks.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/963/thumb/VH_Logo_Without_Text.png?1593567034,2020-10-02,2020-10-04,DIGITAL,"Everywhere, Worldwide"
MakeUC,https://makeuc.io,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/907/thumb/makeuc-logo.png?1598547125,2020-10-03,2020-10-04,DIGITAL,"Everywhere, Worldwide"
[email protected],https://hackathome.org/#,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/593/thumb/Logo_no_text.png?1600716479,2020-10-09,2020-10-12,DIGITAL,"Everywhere, Worldwide"
IdeaHack! 2020,https://www.businessmeetstech.de/ideahack,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/391/thumb/IHCircle.png?1599565661,2020-10-09,2020-10-11,DIGITAL,"Everywhere, Worldwide"
Knight Hacks,https://www.knighthacks.org,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/026/235/thumb/just_sword_on_pink-02-02_%281%29.png?1602015486,2020-10-09,2020-10-11,DIGITAL,"Everywhere, Worldwide"
MakeSPP,https://www.makespp.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/388/thumb/logosmall.png?1599254920,2020-10-09,2020-10-11,DIGITAL,"Everywhere, Worldwide"
sunhacks,https://sunhacks.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/961/thumb/sunhacks_logo.png?1593562234,2020-10-09,2020-10-11,DIGITAL,"Everywhere, Worldwide"
GirlHacks,https://girlhacks.github.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/393/thumb/GirlHacks5.jpg?1599665653,2020-10-10,2020-10-11,DIGITAL,"Everywhere, Worldwide"
HacktheMountains,https://www.hackthemountain.tech/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/908/thumb/Hack_The_Mountains_Logo.png?1597428567,2020-10-10,2020-10-11,DIGITAL,"Everywhere, Worldwide"
"Lights, Camera, Hacktion",https://organize.mlh.io/participants/events/4619-lights-camera-hacktion,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/591/thumb/light-camera-hacktion_mlh-event-title.png?1600704851,2020-10-10,2020-10-11,DIGITAL,"Everywhere, Worldwide"
WEHack,https://wehackutd.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/389/thumb/WEHack_logo__4_.png?1599255064,2020-10-10,2020-10-11,DIGITAL,"Everywhere, Worldwide"
HackGT,https://2020.hack.gt/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/844/thumb/simpleLogo_%282%29.png?1593606304,2020-10-16,2020-10-18,DIGITAL,"Everywhere, Worldwide"
HackNC,https://www.hacknc.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/597/thumb/hacknc2020_mlh.png?1600783976,2020-10-16,2020-10-18,DIGITAL,"Everywhere, Worldwide"
Hackrithmitic,https://organize.mlh.io/participants/events/4620-hackrithmitic,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/592/thumb/Hackrithmitic_mlh-event-title.png?1600704909,2020-10-16,2020-10-18,DIGITAL,"Everywhere, Worldwide"
DubHacks,https://dubhacks.co/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/962/thumb/DH_mlh_square.png?1593562638,2020-10-17,2020-10-18,DIGITAL,"Everywhere, Worldwide"
Girls Hoo Hack,https://www.gwcuva.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/257/thumb/Grade_Calculator.png?1602168086,2020-10-17,2020-10-18,DIGITAL,"Everywhere, Worldwide"
HackTheU,https://hacktheu.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/598/thumb/Emblem_%281%29.png?1600789025,2020-10-17,2020-10-18,DIGITAL,"Everywhere, Worldwide"
OwlHacks,https://owlhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/394/thumb/instaProfile_resized.jpg?1599665926,2020-10-17,2020-10-18,DIGITAL,"Everywhere, Worldwide"
TAMU Datathon,https://tamudatathon.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/392/thumb/image.png?1599568421,2020-10-17,2020-10-18,DIGITAL,"Everywhere, Worldwide"
Local Hack Day: Learn,https://localhackday.mlh.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/395/thumb/2020-LHD-learn-for-web-01.png?1599666686,2020-10-18,2020-10-24,DIGITAL,"Everywhere, Worldwide"
HackTheMidlands,https://hackthemidlands.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/845/thumb/HTM_Logo.jpg?1593547027,2020-10-22,2020-10-25,DIGITAL,"Everywhere, Worldwide"
Columbia DivHacks,https://columbiadivhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/909/thumb/divhacks_logo.png?1597430883,2020-10-23,2020-10-25,DIGITAL,"Everywhere, Worldwide"
DandyHacks,https://dandyhacks.net/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/064/193/thumb/DHlogo.png?1603120089,2020-10-23,2020-10-25,DIGITAL,"Everywhere, Worldwide"
DemonHacks,https://demonhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/596/thumb/shortdhlogo.png?1600718335,2020-10-23,2020-10-25,DIGITAL,"Everywhere, Worldwide"
HackTX,https://hacktx.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/594/thumb/logo_%2813%29.png?1600717750,2020-10-23,2020-10-25,DIGITAL,"Everywhere, Worldwide"
The Pitt Challenge,http://pittchallenge.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/595/thumb/pitt-challenge.png?1600718060,2020-10-23,2020-10-25,DIGITAL,"Everywhere, Worldwide"
Kent Hack Enough,https://khe.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/258/thumb/small100px_copy.png?1602269549,2020-10-24,2020-10-25,DIGITAL,"Everywhere, Worldwide"
Technica,https://gotechnica.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/316/thumb/logo_%2810%29.png?1594049617,2020-10-24,2020-10-25,DIGITAL,"Everywhere, Worldwide"
UB Hacking,https://www.ubhacking.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/012/754/thumb/MLH_UBH2020Icon__1__%281%29.png?1601401841,2020-10-24,2020-10-25,DIGITAL,"Everywhere, Worldwide"
Hack or Treat?,https://organize.mlh.io/participants/events/4621-hack-or-treat,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/715/thumb/Hack-or-Treat_mlh-event-title.png?1600950460,2020-10-30,2020-11-01,DIGITAL,"Everywhere, Worldwide"
AgriTech Hackathon,https://agritechhackathon.ca/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/602/thumb/AgriTech_Logo_._new_version___1_.png?1599745275,2020-11-06,2020-11-08,DIGITAL,"Everywhere, Worldwide"
Hack K-State,https://hackkstate.tech/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/092/889/thumb/logo__3_.png?1604065935,2020-11-06,2020-11-08,DIGITAL,"Everywhere, Worldwide"
HackPSU,https://hackpsu.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/259/thumb/HackPSU_FA2020_Logo.png?1602168665,2020-11-06,2020-11-08,DIGITAL,"Everywhere, Worldwide"
Hacks and Craft,https://organize.mlh.io/participants/events/5213-hacks-and-crafts,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/028/500/thumb/hacks_and_crafts_mlh-event-title.png?1602085166,2020-11-06,2020-11-08,DIGITAL,"Everywhere, Worldwide"
TechTogether Boston,https://boston.techtogether.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/029/108/thumb/ttb-logo-2.png?1602107407,2020-11-06,2020-11-08,DIGITAL,"Everywhere, Worldwide"
TigerHacks,https://tigerhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/086/600/thumb/TigerHacks_Logo.jpeg?1603816672,2020-11-06,2020-11-08,DIGITAL,"Everywhere, Worldwide"
hackCBS 3.0,https://hackcbs.tech,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/017/890/thumb/hackCBS_3.0_LOGO.png?1601662996,2020-11-07,2020-11-08,DIGITAL,"Everywhere, Worldwide"
HackHolyoke,http://hackholyoke.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/086/889/thumb/logo.jpg?1603828316,2020-11-07,2020-11-08,DIGITAL,"Everywhere, Worldwide"
HackNJIT,https://hacknjit.org,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/261/thumb/hacknjit_mlh.png?1602169000,2020-11-07,2020-11-08,DIGITAL,"Everywhere, Worldwide"
hackPHS,https://hackphs.tech,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/260/thumb/hackphslogo2019.png?1602168892,2020-11-07,2020-11-08,"HIGH SCHOOL
            
            DIGITAL","Everywhere, Worldwide"
HackRPI,https://hackrpi.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/077/472/thumb/HackRPIMLH.jpg?1603487267,2020-11-07,2020-11-08,DIGITAL,"Everywhere, Worldwide"
HackRU,https://hackru.org/#home,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/093/342/thumb/devpost_profile_100px.png?1604084038,2020-11-07,2020-11-08,DIGITAL,"Everywhere, Worldwide"
hackSheffield,https://hacksheffield.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/086/986/thumb/hs6square-01.png?1603831879,2020-11-07,2020-11-08,DIGITAL,"Everywhere, Worldwide"
NewHacks,https://ieee.utoronto.ca/newhacks/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/304/thumb/Frame_1.jpg?1602169443,2020-11-07,2020-11-08,DIGITAL,"Everywhere, Worldwide"
WHACK,https://wellesleyhacks.org,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/379/thumb/WHACK_2020_Logo.png?1602169562,2020-11-07,2020-11-08,DIGITAL,"Everywhere, Worldwide"
Code.Jam(2020),https://codejam.mcgilleus.ca,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/031/393/thumb/CodeJamLogo100x100.png?1602169800,2020-11-13,2020-11-13,DIGITAL,"Everywhere, Worldwide"
Creatica,https://www.creatica.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/390/thumb/Creatica_logo.png?1601642266,2020-11-13,2020-11-15,DIGITAL,"Everywhere , Worldwide"
Do-Re-Mi Hacks,https://organize.mlh.io/participants/events/5725-do-re-mi-hacks,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/048/968/thumb/Do-Re-Mi-Hacks_mlh-event-title.png?1602695083,2020-11-13,2020-11-15,DIGITAL,"Everywhere, Worldwide"
HackUMBC,https://www.hackumbc.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/017/889/thumb/dog_8bit.png?1601662434,2020-11-13,2020-11-15,DIGITAL,"Everywhere, Worldwide"
